rfam_family	seq_count	noncanonical_count	canonical_count
RF01034	12	0	12
RF01035	14	0	14
RF01036	11	0	11
RF01037	8	0	8
RF01038	33	0	33
RF01039	13	0	13
RF01040	11	0	11
RF01041	15	0	15
RF01042	22	0	22
RF01043	8	0	8
RF01044	48	0	48
RF01045	2440	0	2440
RF01046	19	0	19
RF01047	36	0	36
RF01050	22	8	14
RF01051	4213	9	4204
RF01052	121	1	120
RF01053	3	0	3
RF01054	72	0	72
RF01055	1390	8	1382
RF01056	42	0	42
RF01057	861	2	859
RF01059	39	0	39
RF01061	962	0	962
RF01064	9	0	9
RF01065	209	0	209
RF01066	412	0	412
RF01067	105	0	105
RF01068	1001	1	1000
RF01069	101	0	101
RF01070	284	0	284
RF01071	294	1	293
RF01072	40	0	40
RF01073	765	1	764
RF01074	12	0	12
RF01075	3	0	3
RF01076	4	0	4
RF01077	6	0	6
RF01078	4	0	4
RF01079	3	0	3
RF01080	6	0	6
RF01081	6	0	6
RF01082	5	0	5
RF01083	11	0	11
RF01084	17	0	17
RF01085	2	0	2
RF01087	6	0	6
RF01088	3	0	3
RF01089	45	0	45
RF01090	44	0	44
RF01091	8	0	8
RF01092	2	0	2
RF01093	115	0	115
RF01094	3	0	3
RF01095	4	0	4
RF01096	3	0	3
RF01097	887	0	887
RF01098	6	0	6
RF01099	32	0	32
RF01100	3	0	3
RF01101	7	0	7
RF01102	3	0	3
RF01103	4	0	4
RF01104	4	0	4
RF01105	3	0	3
RF01106	3	0	3
RF01107	4	0	4
RF01108	3	0	3
RF01109	4	0	4
RF01111	5	0	5
RF01113	4	0	4
RF01114	4	0	4
RF01116	157	0	157
RF01117	9	0	9
RF01119	6	0	6
RF01120	12	0	12
RF01121	6	0	6
RF01122	15	0	15
RF01123	4	0	4
RF01124	15	0	15
RF01125	4	0	4
RF01126	23	0	23
RF01127	5	0	5
RF01128	17	0	17
RF01129	4	0	4
RF01130	17	0	17
RF01131	17	0	17
RF01132	4	0	4
RF01133	73	0	73
RF01134	10	0	10
RF01135	7	0	7
RF01136	18	0	18
RF01137	4	0	4
RF01138	16	0	16
RF01139	23	0	23
RF01140	15	0	15
RF01141	8	0	8
RF01142	5	0	5
RF01143	3	0	3
RF01144	12	0	12
RF01145	22	0	22
RF01146	4	0	4
RF01147	10	0	10
RF01149	7	0	7
RF01150	14	0	14
RF01151	56	0	56
RF01152	34	0	34
RF01153	15	0	15
RF01155	194	0	194
RF01156	104	0	104
RF01157	12	0	12
RF01158	19	0	19
RF01159	107	0	107
RF01160	16	0	16
RF01161	137	0	137
RF01162	27	0	27
RF01163	113	0	113
RF01164	53	1	52
RF01165	10	0	10
RF01166	16	0	16
RF01167	10	0	10
RF01168	51	0	51
RF01169	64	0	64
RF01170	138	0	138
RF01171	3	0	3
RF01172	9	0	9
RF01173	47	0	47
RF01174	62	0	62
RF01175	20	0	20
RF01176	45	0	45
RF01177	80	0	80
RF01178	238	1	237
RF01179	111	0	111
RF01180	27	0	27
RF01181	83	1	82
RF01182	128	0	128
RF01183	60	0	60
RF01184	80	0	80
RF01185	520	1	519
RF01186	108	0	108
RF01188	110	0	110
RF01189	10	0	10
RF01190	14	0	14
RF01191	221	0	221
RF01192	146	1	145
RF01193	150	0	150
RF01194	26	0	26
RF01195	38	1	37
RF01196	21	0	21
RF01197	47	0	47
RF01198	289	0	289
RF01199	12	0	12
RF01200	99	1	98
RF01201	76	0	76
RF01202	13	0	13
RF01203	84	0	84
RF01204	35	1	34
RF01205	12	3	9
RF01206	200	0	200
RF01207	249	0	249
RF01208	260	0	260
RF01209	84	2	82
RF01210	5479	8	5471
RF01211	69	0	69
RF01212	48	0	48
RF01213	306	0	306
RF01214	144	4	140
RF01215	270	0	270
RF01216	44	0	44
RF01218	81	1	80
RF01219	235	1	234
RF01220	228	2	226
RF01221	18	0	18
RF01222	10	0	10
RF01223	55	2	53
RF01224	257	0	257
RF01225	254	0	254
RF01226	17	0	17
RF01227	308	0	308
RF01228	169	0	169
RF01229	167	0	167
RF01230	231	0	231
RF01231	466	0	466
RF01232	28	0	28
RF01233	348	1	347
RF01234	138	0	138
RF01235	14	2	12
RF01236	121	0	121
RF01237	40	1	39
RF01238	36	3	33
RF01239	55	1	54
RF01240	34	2	32
RF01241	254	1	253
RF01242	313	2	311
RF01243	19	1	18
RF01244	40	0	40
RF01245	16	2	14
RF01246	12	2	10
RF01247	106	2	104
RF01248	75	1	74
RF01249	52	4	48
RF01250	30	0	30
RF01251	61	1	60
RF01252	69	3	66
RF01253	61	0	61
RF01254	46	1	45
RF01255	70	5	65
RF01256	86	1	85
RF01257	45	3	42
RF01258	80	2	78
RF01259	35	2	33
RF01260	37	1	36
RF01261	35	5	30
RF01262	257	1	256
RF01263	245	5	240
RF01264	22	2	20
RF01265	44	0	44
RF01266	39	0	39
RF01267	59	2	57
RF01268	103	1	102
RF01269	204	1	203
RF01270	15	1	14
RF01271	35	4	31
RF01272	14	1	13
RF01273	16	0	16
RF01274	18	0	18
RF01275	17	0	17
RF01276	5	0	5
RF01277	155	0	155
RF01278	149	0	149
RF01279	183	0	183
RF01280	192	1	191
RF01281	211	1	210
RF01283	108	0	108
RF01284	390	0	390
RF01285	453	1	452
RF01286	211	0	211
RF01287	181	0	181
RF01288	199	0	199
RF01289	22	0	22
RF01290	112	0	112
RF01291	129	0	129
RF01292	304	1	303
RF01293	19	0	19
RF01294	67	0	67
RF01295	119	1	118
RF01296	203	3	200
RF01297	4	0	4
RF01298	8	0	8
RF01299	230	0	230
RF01300	98	0	98
RF01301	38	0	38
RF01302	370	0	370
RF01303	4	0	4
RF01304	26	0	26
RF01305	11	0	11
RF01306	3	0	3
RF01307	15	0	15
RF01308	16	0	16
RF01309	13	0	13
RF01310	12	0	12
RF01312	9	0	9
RF01313	14	0	14
RF01314	13	0	13
RF01315	9070	1	9069
RF01316	1327	0	1327
RF01317	10269	1	10268
RF01318	4690	6	4684
RF01319	622	0	622
RF01320	2410	0	2410
RF01321	77	0	77
RF01322	1369	0	1369
RF01323	299	0	299
RF01324	43	0	43
RF01325	262	0	262
RF01326	134	0	134
RF01327	189	0	189
RF01328	48	0	48
RF01329	107	0	107
RF01330	595	0	595
RF01331	34	0	34
RF01332	409	0	409
RF01333	41	0	41
RF01334	278	0	278
RF01335	487	0	487
RF01336	151	0	151
RF01337	1221	1	1220
RF01338	308	0	308
RF01339	133	0	133
RF01340	131	0	131
RF01341	22	0	22
RF01342	36	0	36
RF01343	181	0	181
RF01344	382	0	382
RF01345	131	0	131
RF01346	70	0	70
RF01347	185	0	185
RF01348	114	0	114
RF01349	3	0	3
RF01350	38	0	38
RF01351	8	0	8
RF01352	988	0	988
RF01353	36	0	36
RF01354	326	0	326
RF01355	49	0	49
RF01356	617	0	617
RF01357	22	0	22
RF01358	139	0	139
RF01359	7	0	7
RF01360	45	0	45
RF01361	11	0	11
RF01362	217	1	216
RF01363	388	0	388
RF01364	25	0	25
RF01365	52	0	52
RF01366	16	0	16
RF01367	23	0	23
RF01368	47	0	47
RF01369	102	0	102
RF01370	442	0	442
RF01371	102	0	102
RF01373	171	0	171
RF01374	4	0	4
RF01375	2	0	2
RF01376	40	0	40
RF01377	2	0	2
RF01378	3	0	3
RF01379	130	0	130
RF01380	41	1	40
RF01381	33	0	33
RF01382	44	0	44
RF01383	26	0	26
RF01384	9	0	9
RF01385	48	0	48
RF01386	10	0	10
RF01387	31	0	31
RF01388	7	0	7
RF01389	7	0	7
RF01390	134	0	134
RF01391	11	0	11
RF01392	39	0	39
RF01393	12	0	12
RF01394	437	2	435
RF01395	20	1	19
RF01396	140	0	140
RF01397	22	0	22
RF01398	11	0	11
RF01399	11	0	11
RF01400	39	0	39
RF01401	19	0	19
RF01402	15	0	15
RF01403	11	0	11
RF01404	9	0	9
RF01405	260	0	260
RF01406	13	0	13
RF01407	30	0	30
RF01408	49	0	49
RF01409	13	0	13
RF01410	353	0	353
RF01411	123	0	123
RF01412	301	1	300
RF01413	643	1	642
RF01414	152	0	152
RF01415	117	0	117
RF01416	9	0	9
RF01417	79	0	79
RF01418	48	24	24
RF01419	1434	20	1414
RF01420	157	1	156
RF01421	506	1	505
RF01422	95	0	95
RF01423	158	1	157
RF01424	235	0	235
RF01425	16	0	16
RF01426	173	0	173
RF01427	95	0	95
RF01428	220	1	219
RF01429	34	0	34
RF01430	283	0	283
RF01431	284	3	281
RF01432	220	0	220
RF01433	256	0	256
RF01434	5	0	5
RF01435	5	0	5
RF01436	5	0	5
RF01437	4	0	4
RF01438	31	0	31
RF01439	4	0	4
RF01440	5	0	5
RF01441	3	0	3
RF01442	6	0	6
RF01443	4	0	4
RF01444	6	0	6
RF01445	6	0	6
RF01446	4	0	4
RF01447	5	0	5
RF01448	4	0	4
RF01449	6	0	6
RF01450	3	0	3
RF01451	4	0	4
RF01452	11	0	11
RF01453	4	0	4
RF01454	4	0	4
RF01455	75	0	75
RF01456	43	0	43
RF01457	7	0	7
RF01458	52	0	52
RF01459	5	0	5
RF01460	4	0	4
RF01461	7	0	7
RF01462	6	0	6
RF01463	4	0	4
RF01464	7	0	7
RF01465	4	0	4
RF01466	8	0	8
RF01467	7	0	7
RF01468	6	0	6
RF01469	6	0	6
RF01470	100	0	100
RF01471	9	0	9
RF01472	5	0	5
RF01473	11	0	11
RF01474	5	0	5
RF01475	7	0	7
RF01476	9	0	9
RF01477	5	0	5
RF01478	10	0	10
RF01479	7	0	7
RF01480	7	0	7
RF01481	6	0	6
RF01482	175	0	175
RF01483	7	0	7
RF01484	6	0	6
RF01485	13	0	13
RF01486	7	0	7
RF01487	12	0	12
RF01488	6	0	6
RF01489	36	1	35
RF01490	12	0	12
RF01491	9	0	9
RF01492	418	1	417
RF01493	5	0	5
RF01494	97	0	97
RF01495	38	0	38
RF01496	299	1	298
RF01497	1415	4	1411
RF01498	276	0	276
RF01499	93	0	93
RF01500	123	0	123
RF01501	101	0	101
RF01502	380	4	376
RF01503	11	0	11
RF01504	111	0	111
RF01505	252	0	252
RF01506	191	0	191
RF01507	166	0	166
RF01508	8	2	6
RF01509	270	1	269
RF01510	5	0	5
RF01511	260	0	260
RF01512	283	0	283
RF01513	286	0	286
RF01514	284	0	284
RF01515	273	0	273
RF01516	5	0	5
RF01517	40	0	40
RF01518	115	1	114
RF01519	16	1	15
RF01520	8	0	8
RF01521	13	0	13
RF01522	76	0	76
RF01523	39	0	39
RF01524	39	0	39
RF01525	37	0	37
RF01526	9	0	9
RF01527	35	0	35
RF01528	11	0	11
RF01529	28	1	27
RF01530	16	0	16
RF01531	52	0	52
RF01532	54	0	54
RF01533	28	0	28
RF01534	18	0	18
RF01535	14	0	14
RF01536	24	0	24
RF01537	73	0	73
RF01538	31	0	31
RF01539	162	0	162
RF01540	161	0	161
RF01541	133	0	133
RF01542	16	1	15
RF01543	35	0	35
RF01544	16	0	16
RF01545	8	0	8
RF01546	105	1	104
RF01547	92	0	92
RF01548	73	1	72
RF01549	54	0	54
RF01550	51	0	51
RF01551	7	0	7
RF01552	57	0	57
RF01553	42	0	42
RF01554	61	0	61
RF01555	42	0	42
RF01556	33	0	33
RF01557	41	0	41
RF01558	51	0	51
RF01559	5	0	5
RF01560	9	0	9
RF01561	8	0	8
RF01562	3	0	3
RF01563	6	0	6
RF01564	3	0	3
RF01565	5	0	5
RF01566	9	0	9
RF01567	3	0	3
RF01568	5	0	5
RF01569	6	0	6
RF01570	7	0	7
RF01572	5	0	5
RF01573	5	0	5
RF01574	5	0	5
RF01575	5	0	5
RF01576	3	0	3
RF01577	24	1	23
RF01578	23	0	23
RF01579	25	0	25
RF01580	13	0	13
RF01581	145	4	141
RF01582	17	0	17
RF01583	25	0	25
RF01584	11	0	11
RF01585	28	0	28
RF01586	20	0	20
RF01587	28	0	28
RF01588	52	0	52
RF01589	11	0	11
RF01590	16	0	16
RF01591	29	0	29
RF01592	22	0	22
RF01593	29	0	29
RF01594	27	0	27
RF01595	28	0	28
RF01596	32	0	32
RF01597	36	0	36
RF01598	26	0	26
RF01599	21	0	21
RF01600	28	0	28
RF01601	30	1	29
RF01602	28	0	28
RF01603	25	1	24
RF01604	26	0	26
RF01605	29	0	29
RF01606	26	0	26
RF01607	19	1	18
RF01608	12	0	12
RF01609	11	0	11
RF01610	19	0	19
RF01611	17	0	17
RF01612	10	0	10
RF01613	20	0	20
RF01614	10	0	10
RF01615	32	0	32
RF01617	8	0	8
RF01618	20	0	20
RF01619	8	0	8
RF01620	14	0	14
RF01621	10	0	10
RF01622	19	0	19
RF01623	17	0	17
RF01624	11	0	11
RF01625	11	0	11
RF01626	11	0	11
RF01627	20	0	20
RF01628	8	0	8
RF01629	60	0	60
RF01630	26	0	26
RF01631	11	0	11
RF01632	9	0	9
RF01633	10	0	10
RF01634	9	0	9
RF01635	14	0	14
RF01636	10	0	10
RF01637	42	0	42
RF01638	12	0	12
RF01639	11	0	11
RF01640	9	0	9
RF01641	10	0	10
RF01642	12	0	12
RF01643	10	0	10
RF01644	14	0	14
RF01645	17	0	17
RF01646	10	0	10
RF01647	11	0	11
RF01648	9	0	9
RF01649	9	0	9
RF01650	3	0	3
RF01651	11	0	11
RF01652	15	0	15
RF01653	18	0	18
RF01654	19	0	19
RF01655	18	0	18
RF01656	278	0	278
RF01658	10	0	10
RF01659	7	0	7
RF01660	60	0	60
RF01661	17	0	17
RF01662	11	0	11
RF01663	10	0	10
RF01664	17	0	17
RF01665	3	0	3
RF01666	12	0	12
RF01667	6	0	6
RF01668	82	0	82
RF01669	68	0	68
RF01670	20	0	20
RF01671	32	0	32
RF01672	8	0	8
RF01673	114	0	114
RF01674	81	3	78
RF01675	168	0	168
RF01676	78	0	78
RF01677	3	0	3
RF01678	3	0	3
RF01679	39	0	39
RF01680	3	0	3
RF01681	8	0	8
RF01682	3	0	3
RF01683	7	0	7
RF01684	313	0	313
RF01685	230	1	229
RF01686	8	0	8
RF01687	1978	1	1977
RF01688	751	0	751
RF01689	424	2	422
RF01690	2330	7	2323
RF01691	127	0	127
RF01692	215	0	215
RF01693	230	2	228
RF01694	81	2	79
RF01695	2614	2	2612
RF01696	35	0	35
RF01697	38	0	38
RF01698	3	0	3
RF01699	1107	16	1091
RF01700	18	1	17
RF01701	523	0	523
RF01702	66	0	66
RF01703	6	0	6
RF01704	1047	1	1046
RF01705	5365	4	5361
RF01706	110	1	109
RF01707	399	0	399
RF01708	205	0	205
RF01709	107	0	107
RF01710	26	0	26
RF01711	21	0	21
RF01712	47	0	47
RF01713	25	0	25
RF01714	3	0	3
RF01715	12	0	12
RF01716	77	0	77
RF01717	383	2	381
RF01718	18	0	18
RF01719	113	1	112
RF01720	90	0	90
RF01721	88	0	88
RF01722	13	0	13
RF01723	63	0	63
RF01724	26	0	26
RF01725	765	2	763
RF01726	583	2	581
RF01727	299	0	299
RF01728	206	0	206
RF01729	15	0	15
RF01730	20	0	20
RF01731	1903	24	1879
RF01732	106	0	106
RF01733	26	0	26
RF01734	2382	5	2377
RF01735	246	0	246
RF01736	49	0	49
RF01737	13	0	13
RF01738	73	0	73
RF01739	1712	2	1710
RF01740	104	0	104
RF01742	21	0	21
RF01743	16	0	16
RF01744	26	0	26
RF01745	183	0	183
RF01746	502	0	502
RF01747	772	0	772
RF01748	99	0	99
RF01749	554	0	554
RF01750	1922	3	1919
RF01751	137	0	137
RF01752	45	0	45
RF01753	47	0	47
RF01754	572	2	570
RF01755	88	1	87
RF01756	90	1	89
RF01757	24	0	24
RF01758	90	0	90
RF01759	81	0	81
RF01760	200	0	200
RF01761	130	0	130
RF01762	55	0	55
RF01763	703	0	703
RF01764	370	0	370
RF01765	11	2	9
RF01766	1612	3	1609
RF01767	192	0	192
RF01768	41	0	41
RF01769	124	1	123
RF01770	286	0	286
RF01771	49	0	49
RF01772	53	0	53
RF01773	81	0	81
RF01774	11	0	11
RF01775	28	0	28
RF01776	232	0	232
RF01778	107	0	107
RF01779	3	0	3
RF01780	15	0	15
RF01781	755	0	755
RF01782	4648	7	4641
RF01783	3	0	3
RF01784	22	0	22
RF01785	4	0	4
RF01786	586	1	585
RF01787	9224	2	9222
RF01788	2142	146	1996
RF01789	7	0	7
RF01790	16	0	16
RF01791	203	0	203
RF01792	5	0	5
RF01793	628	0	628
RF01794	293	4	289
RF01795	19	0	19
RF01796	124	0	124
RF01797	57	0	57
RF01798	3	0	3
RF01800	7	0	7
RF01802	6	0	6
RF01803	741	0	741
RF01804	25	0	25
RF01807	12	0	12
RF01808	40	0	40
RF01809	37	0	37
RF01810	16	0	16
RF01811	46	0	46
RF01812	9	0	9
RF01813	77	0	77
RF01814	23	1	22
RF01815	154	0	154
RF01816	18	0	18
RF01817	3	0	3
RF01818	4	0	4
RF01819	25	0	25
RF01820	132	0	132
RF01821	19	0	19
RF01822	4	0	4
RF01823	20	0	20
RF01824	15	2	13
RF01825	14	1	13
RF01826	19	0	19
RF01827	21	0	21
RF01828	10	0	10
RF01829	3	0	3
RF01830	455	4	451
RF01831	696	2	694
RF01832	42	0	42
RF01833	5	0	5
RF01834	5	0	5
RF01835	22	0	22
RF01836	9	1	8
RF01837	3	0	3
RF01838	9	0	9
RF01839	6	0	6
RF01840	15	0	15
RF01841	10	0	10
RF01842	27	0	27
RF01843	6	0	6
RF01844	322	1	321
RF01845	160	1	159
RF01846	643	17	626
RF01847	1209	7	1202
RF01848	151	1	150
RF01849	942	9	933
RF01850	41	1	40
RF01851	48	1	47
RF01852	2359	5	2354
RF01853	248	4	244
RF01854	1143	8	1135
RF01855	1398	10	1388
RF01856	86	1	85
RF01857	344	5	339
RF01858	5	0	5
RF01859	367	6	361
RF01860	279	0	279
RF01861	71	0	71
RF01862	36	0	36
RF01863	6	0	6
RF01864	28	0	28
RF01865	5	0	5
RF01866	12	0	12
RF01867	68	0	68
RF01871	56	0	56
RF01872	53	1	52
RF01873	56	0	56
RF01874	43	0	43
RF01875	45	0	45
RF01876	47	0	47
RF01877	53	1	52
RF01879	62	0	62
RF01880	55	0	55
RF01881	60	0	60
RF01882	66	0	66
RF01883	54	0	54
RF01884	209	2	207
RF01885	24	0	24
RF01886	22	0	22
RF01887	51	0	51
RF01888	55	0	55
RF01889	8	0	8
RF01890	5	0	5
RF01891	67	0	67
RF01892	69	0	69
RF01894	112	1	111
RF01895	241	1	240
RF01896	283	0	283
RF01897	50	0	50
RF01898	122	0	122
RF01899	17	0	17
RF01900	23	0	23
RF01901	33	0	33
RF01902	58	0	58
RF01903	146	0	146
RF01904	43	0	43
RF01905	45	0	45
RF01906	47	0	47
RF01909	59	0	59
RF01910	26	0	26
RF01911	1248	2	1246
RF01912	4747	0	4747
RF01913	27	0	27
RF01914	89	0	89
RF01915	32	0	32
RF01916	37	0	37
RF01917	244	0	244
RF01918	49	0	49
RF01919	23	0	23
RF01920	42	0	42
RF01921	40	0	40
RF01922	38	0	38
RF01923	38	0	38
RF01924	3419	0	3419
RF01925	110	0	110
RF01926	104	0	104
RF01927	10	0	10
RF01928	42	0	42
RF01929	12	0	12
RF01930	10	0	10
RF01931	12	0	12
RF01932	13	0	13
RF01933	14	0	14
RF01934	15	0	15
RF01935	6	0	6
RF01936	11	0	11
RF01937	1176	0	1176
RF01938	45	0	45
RF01939	46	0	46
RF01940	6	0	6
RF01941	20	0	20
RF01943	50	0	50
RF01944	60	0	60
RF01945	90	0	90
RF01946	42	0	42
RF01947	49	0	49
RF01948	40	0	40
RF01950	47	0	47
RF01951	127	0	127
RF01952	51	0	51
RF01953	95	0	95
RF01954	70	0	70
RF01955	63	0	63
RF01956	57	0	57
RF01957	71	1	70
RF01959	632	33	599
RF01960	21653	867	20786
RF01962	51	0	51
RF01963	58	0	58
RF01964	54	0	54
RF01965	56	0	56
RF01966	60	0	60
RF01967	112	1	111
RF01968	113	0	113
RF01969	116	0	116
RF01970	130	0	130
RF01971	60	0	60
RF01972	64	0	64
RF01973	53	0	53
RF01974	34	1	33
RF01975	47	1	46
RF01976	119	0	119
RF01977	49	0	49
RF01978	51	0	51
RF01979	47	0	47
RF01981	62	0	62
RF01982	59	0	59
RF01983	50	0	50
RF01984	99	0	99
RF01985	47	0	47
RF01986	50	3	47
RF01987	49	0	49
RF01988	60	0	60
RF01989	478	1	477
RF01990	341	1	340
RF01991	28	0	28
RF01992	64	1	63
RF01996	12	0	12
RF01997	14	0	14
RF01998	2271	6	2265
RF01999	822	1	821
RF02000	76	0	76
RF02001	3545	34	3511
RF02003	620	3	617
RF02004	586	10	576
RF02005	1363	9	1354
RF02006	7	0	7
RF02007	11	0	11
RF02008	16	0	16
RF02009	16	0	16
RF02010	12	0	12
RF02011	7	0	7
RF02012	1048	4	1044
RF02014	12	0	12
RF02015	13	0	13
RF02016	12	0	12
RF02017	38	0	38
RF02018	12	0	12
RF02019	12	0	12
RF02020	58	0	58
RF02021	14	0	14
RF02022	11	0	11
RF02023	11	0	11
RF02024	20	0	20
RF02025	36	0	36
RF02026	18	0	18
RF02027	144	1	143
RF02028	17	0	17
RF02029	120	0	120
RF02030	128	0	128
RF02031	152	0	152
RF02032	58	0	58
RF02033	982	3	979
RF02034	176	0	176
RF02035	327	2	325
RF02036	32	0	32
RF02037	30	0	30
RF02038	57	0	57
RF02039	60	0	60
RF02040	35	0	35
RF02041	99	0	99
RF02042	59	1	58
RF02043	56	0	56
RF02044	23	0	23
RF02045	47	0	47
RF02046	158	0	158
RF02047	205	0	205
RF02048	6	0	6
RF02049	4	0	4
RF02050	7	0	7
RF02051	45	1	44
RF02052	20	0	20
RF02053	29	0	29
RF02054	6	0	6
RF02055	7	0	7
RF02056	7	0	7
RF02057	66	0	66
RF02058	4	0	4
RF02059	7	0	7
RF02060	24	1	23
RF02061	245	0	245
RF02062	7	0	7
RF02063	7	0	7
RF02064	26	0	26
RF02065	9	0	9
RF02066	8	0	8
RF02067	12	0	12
RF02068	10	0	10
RF02069	34	0	34
RF02070	8	0	8
RF02071	8	0	8
RF02072	6	0	6
RF02073	7	0	7
RF02074	81	0	81
RF02075	26	0	26
RF02076	135	1	134
RF02077	9	0	9
RF02078	7	0	7
RF02079	31	0	31
RF02080	7	0	7
RF02081	75	0	75
RF02082	21	0	21
RF02083	9	0	9
RF02084	42	0	42
RF02085	18	0	18
RF02086	17	0	17
RF02087	10	0	10
RF02088	11	0	11
RF02089	53	0	53
RF02090	61	0	61
RF02091	88	1	87
RF02092	32	0	32
RF02093	67	0	67
RF02094	46	0	46
RF02095	344	0	344
RF02097	53	0	53
RF02098	17	0	17
RF02099	3	0	3
RF02100	52	0	52
RF02101	51	0	51
RF02102	17	0	17
RF02103	83	2	81
RF02104	38	0	38
RF02105	77	0	77
RF02106	51	0	51
RF02107	61	0	61
RF02108	68	1	67
RF02109	142	1	141
